Line 1: 1790,1457 -> OK
Line 2: 80,409 -> OK
Line 3: 1800,1443 -> OK
Line 4: 1782,882 -> OK
Line 5: 1540,612 -> OK
Line 6: 62,421 -> OK
Line 7: 1808,1183 -> OK
Line 8: 66,433 -> OK
Line 9: 84,646 -> OK
Line 10: 1024,1470 -> OK
Line 11: 1806,1403 -> OK
Line 12: 1776,765 -> OK
Line 13: 78,415 -> OK
Line 14: 74,902 -> OK
Line 15: 72,894 -> OK
Line 16: 104,1294 -> OK
Line 17: 568,1128 -> OK
Line 18: 1802,1437 -> OK
Line 19: 682,882 -> OK
Line 20: 1782,1232 -> OK
Line 21: 682,1375 -> OK
Line 22: 856,751 -> OK
Line 23: 1772,755 -> OK
Line 24: 92,412 -> OK
Line 25: 340,606 -> OK
Line 26: 1776,1128 -> OK
Line 27: 98,587 -> OK
Line 28: 856,786 -> OK
Line 29: 90,548 -> OK
Line 30: 1790,1459 -> OK
Line 31: 1818,1466 -> OK
Line 32: 72,941 -> OK
Line 33: 628,528 -> OK
Line 34: 72,599 -> OK
Line 35: 104,579 -> OK
Line 36: 1540,1283 -> OK
Line 37: 568,429 -> OK
Line 38: 856,1454 -> OK
Line 39: 72,431 -> OK
Line 40: 1540,615 -> OK
Line 41: 84,932 -> OK
Line 42: 1808,786 -> OK
Line 43: 970,936 -> OK
Line 44: 66,432 -> OK
Line 45: 340,445 -> OK
Line 46: 1812,1299 -> OK
Line 47: 1800,1342 -> OK
Line 48: 104,765 -> OK
Line 49: 92,1045 -> OK
Line 50: 1802,1270 -> OK
Line 51: 682,616 -> OK
Line 52: 84,584 -> OK
Line 53: 1814,1151 -> OK
Line 54: 1814,1282 -> OK
Line 55: 286,487 -> OK
Line 56: 66,595 -> OK
Line 57: 1806,1300 -> OK
Line 58: 1776,1115 -> OK
Line 59: 970,1262 -> OK
Line 60: 66,435 -> OK
Line 61: 340,432 -> OK
Line 62: 1800,1454 -> OK
Line 63: 68,598 -> OK
Line 64: 108,578 -> OK
Line 65: 1594,1458 -> OK
Line 66: 1776,590 -> OK
Line 67: 970,1097 -> OK
Line 68: 1814,954 -> OK
Line 69: 84,578 -> OK
Line 70: 1778,1167 -> OK
Line 71: 1814,1045 -> OK
Line 72: 1788,1399 -> OK
Line 73: 1198,440 -> OK
Line 74: 1784,1387 -> OK
Line 75: 628,938 -> OK
Line 76: 92,491 -> OK
Line 77: 78,634 -> OK
Line 78: 1814,1451 -> OK
Line 79: 1802,1446 -> OK
Line 80: 1818,1123 -> OK
Line 81: 1814,1284 -> OK
Line 82: 62,592 -> OK
Line 83: 1802,1469 -> OK
Line 84: 74,775 -> OK
Line 85: 286,556 -> OK
Line 86: 1802,1208 -> OK
Line 87: 1794,595 -> OK
Line 88: 1788,1458 -> OK
Line 89: 1776,1411 -> OK
Line 90: 1814,1375 -> OK
Line 91: 514,929 -> OK
Line 92: 1788,1228 -> OK
Line 93: 1796,1467 -> OK
Line 94: 96,711 -> OK
Line 95: 340,586 -> OK
Line 96: 66,467 -> OK
Line 97: 68,594 -> OK
Line 98: 1788,1458 -> OK
Line 99: 80,419 -> OK
Line 100: 1782,1270 -> OK
Line 101: 80,723 -> OK
Line 102: 682,646 -> OK
Line 103: 1802,980 -> OK
Line 104: 1802,1073 -> OK
Line 105: 1806,582 -> OK
Line 106: 1788,1461 -> OK
Line 107: 1540,1407 -> OK
Line 108: 1806,1279 -> OK
Line 109: 1812,1300 -> OK
Line 110: 66,596 -> OK
Line 111: 340,540 -> OK
Line 112: 1788,886 -> OK
Line 113: 1794,1455 -> OK
Line 114: 90,536 -> OK
Line 115: 1366,1262 -> OK
Line 116: 102,929 -> OK
Line 117: 970,1300 -> OK
Line 118: 74,435 -> OK
Line 119: 62,611 -> OK
Line 120: 1778,1228 -> OK
Line 121: 970,976 -> OK
Line 122: 1024,1095 -> OK
Line 123: 1252,1187 -> OK
Line 124: 628,771 -> OK
Line 125: 1802,1175 -> OK
Line 126: 96,520 -> OK
Line 127: 1784,1449 -> OK
Line 128: 1818,782 -> OK
Line 129: 1814,949 -> OK
Line 130: 68,429 -> OK
Line 131: 1778,1442 -> OK
Line 132: 1772,1469 -> OK
Line 133: 1366,1266 -> OK
Line 134: 1024,898 -> OK
Line 135: 1540,751 -> OK
Line 136: 1788,1465 -> OK
Line 137: 98,1395 -> OK
Line 138: 856,821 -> OK
Line 139: 92,1095 -> OK
Line 140: 628,1093 -> OK
Line 141: 1796,1267 -> OK
Line 142: 66,695 -> OK
Line 143: 102,594 -> OK
Line 144: 1312,428 -> OK
Line 145: 1024,1147 -> OK
Line 146: 74,429 -> OK
Line 147: 80,604 -> OK
Line 148: 66,782 -> OK
Line 149: 1794,1447 -> OK
Line 150: 340,582 -> OK
Line 151: 1788,1091 -> OK
Line 152: 66,924 -> OK
Line 153: 1366,1228 -> OK
Line 154: 74,658 -> OK
Line 155: 92,691 -> OK
Line 156: 98,524 -> OK
Line 157: 78,409 -> OK
Line 158: 286,1244 -> OK
Line 159: 68,769 -> OK
Line 160: 78,445 -> OK
Line 161: 86,984 -> OK
Line 162: 92,711 -> OK
Line 163: 568,1407 -> OK
Line 164: 90,610 -> OK
Line 165: 1808,1187 -> OK
Line 166: 682,1109 -> OK
Line 167: 86,579 -> OK
Line 168: 108,437 -> OK
Line 169: 1800,1411 -> OK
Line 170: 1812,1442 -> OK
Line 171: 1784,1061 -> OK
Line 172: 66,957 -> OK
Line 173: 98,487 -> OK
Line 174: 96,424 -> OK
Line 175: 856,783 -> OK
Line 176: 68,471 -> OK
Line 177: 1802,439 -> OK
Line 178: 78,607 -> OK
Line 179: 66,419 -> OK
Line 180: 104,599 -> OK
Line 181: 1818,1462 -> OK
Line 182: 286,615 -> OK
Line 183: 90,777 -> OK
Line 184: 80,642 -> OK
Line 185: 1788,1322 -> OK
Line 186: 92,582 -> OK
Line 187: 1366,949 -> OK
Line 188: 1784,1459 -> OK
Line 189: 682,894 -> OK
Line 190: 1800,1445 -> OK
Line 191: 856,763 -> OK
Line 192: 1198,866 -> OK
Line 193: 78,600 -> OK
Line 194: 1796,1334 -> OK
Line 195: 104,475 -> OK
Line 196: 96,591 -> OK
Line 197: 86,936 -> OK
Line 198: 1778,1119 -> OK
Line 199: 568,766 -> OK
Line 200: 1818,1461 -> OK
Line 201: 84,1112 -> OK
Line 202: 568,432 -> OK
Line 203: 1788,1454 -> OK
Line 204: 1806,431 -> OK
Line 205: 1772,1236 -> OK
Line 206: 1788,924 -> OK
Line 207: 1802,616 -> OK
Line 208: 1782,766 -> OK
Line 209: 1788,596 -> OK
Line 210: 1594,1266 -> OK
Line 211: 1802,878 -> OK
Line 212: 1312,443 -> OK
Line 213: 72,762 -> OK
Line 214: 1796,1437 -> OK
Line 215: 80,439 -> OK
Line 216: 1594,1435 -> OK
Line 217: 108,412 -> OK
Line 218: 1198,932 -> OK
Line 219: 96,491 -> OK
Line 220: 74,440 -> OK
Line 221: 1802,440 -> OK
Line 222: 682,588 -> OK
Line 223: 1818,658 -> OK
Line 224: 1252,988 -> OK
Line 225: 1796,944 -> OK
Line 226: 78,411 -> OK
Line 227: 86,495 -> OK
Line 228: 1252,1216 -> OK
Line 229: 68,662 -> OK
Line 230: 72,805 -> OK
Line 231: 1594,894 -> OK
Line 232: 1778,1147 -> OK
Line 233: 1814,1280 -> OK
Line 234: 66,1057 -> OK
Line 235: 682,761 -> OK
Line 236: 80,419 -> OK
Line 237: 514,536 -> OK
Line 238: 1252,1350 -> OK
Line 239: 78,1383 -> OK
Line 240: 96,591 -> OK
Line 241: 1024,1236 -> OK
Line 242: 1812,1470 -> OK
Line 243: 286,952 -> OK
Line 244: 1782,600 -> OK
Line 245: 1772,1187 -> OK
Line 246: 1366,437 -> OK
Line 247: 1812,1037 -> OK
Line 248: 1818,1399 -> OK
Line 249: 1778,1445 -> OK
Line 250: 1818,866 -> OK
Line 251: 104,463 -> OK
Line 252: 68,532 -> OK
Line 253: 1806,1212 -> OK
Line 254: 1818,427 -> OK
Line 255: 1198,829 -> OK
Line 256: 1252,1438 -> OK
Line 257: 1812,1411 -> OK
Line 258: 1252,890 -> OK
Line 259: 1782,1354 -> OK
Line 260: 90,777 -> OK
Line 261: 682,862 -> OK
Line 262: 1806,1462 -> OK
Line 263: 910,882 -> OK
Line 264: 1800,1262 -> OK
Line 265: 340,584 -> OK
Line 266: 92,591 -> OK
Line 267: 1814,580 -> OK
Line 268: 96,1443 -> OK
